Anslag,Namn,2022,2023,2024,Utgiftsområde
2:15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,-1000000,-5000000,-5000000,16
2:16,Karolinska institutet: Forskning och utbildning på forskarnivå,-3000000,-10000000,-10000000,16
2:17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,-2000000,-8000000,-8000000,16
2:18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,-3000000,-11000000,-11000000,16
2:19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,-1000000,-5000000,-5000000,16
2:20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,-1000000,-3000000,-3000000,16
2:21,Karlstads universitet: Utbildning på grundnivå och avancerad nivå,-1000000,-5000000,-5000000,16
2:22,Karlstads universitet: Forskning och utbildning på forskarnivå,0,-2000000,-2000000,16
2:23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,-2000000,-7000000,-7000000,16
2:24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,-1000000,-2000000,-2000000,16
2:25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,-1000000,-5000000,-5000000,16
2:26,Örebro universitet: Forskning och utbildning på forskarnivå,0,-2000000,-2000000,16
2:27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,-1000000,-4000000,-4000000,16
2:28,Mittuniversitetet: Forskning och utbildning på forskarnivå,0,-2000000,-2000000,16
2:29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,-2000000,-6000000,-6000000,16
2:30,Malmö universitet: Forskning och utbildning på forskarnivå,0,-2000000,-2000000,16
2:31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,-1000000,-4000000,-4000000,16
2:32,Mälardalens universitet: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,0,-2000000,-2000000,16
2:34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,0,-1000000,-1000000,16
2:36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,0,0,0,16
2:37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,0,-1000000,-1000000,16
2:38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,0,0,0,16
2:39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:40,Högskolan i Borås: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:43,Högskolan i Gävle: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:44,Högskolan i Gävle: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:45,Högskolan i Halmstad: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:46,Högskolan i Halmstad: Forskning och utbildning på forskarnivå,0,0,0,16
2:47,Högskolan Kristianstad: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:48,Högskolan Kristianstad: Forskning och utbildning på forskarnivå,0,0,0,16
2:49,Högskolan i Skövde: Utbildning på grundnivå och avancerad nivå,-1000000,-2000000,-2000000,16
2:50,Högskolan i Skövde: Forskning och utbildning på forskarnivå,0,0,0,16
2:51,Högskolan Väst: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:52,Högskolan Väst: Forskning och utbildning på forskarnivå,0,0,0,16
2:53,Konstfack: Utbildning på grundnivå och avancerad nivå,0,0,0,16
2:54,Konstfack: Konstnärlig forskning och utbildning på forskarnivå,0,0,0,16
2:55,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå,0,0,0,16
2:56,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå,0,0,0,16
2:57,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå,0,-1000000,-1000000,16
2:58,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå,0,0,0,16
2:59,Södertörns högskola: Utbildning på grundnivå och avancerad nivå,-1000000,-3000000,-3000000,16
2:60,Södertörns högskola: Forskning och utbildning på forskarnivå,0,-1000000,-1000000,16
2:61,Försvarshögskolan: Utbildning på grundnivå och avancerad nivå,0,0,0,16
2:62,Försvarshögskolan: Forskning och utbildning på forskarnivå,0,0,0,16
2:63,Enskilda utbildningsanordnare på högskoleområdet,-10000000,-30000000,-30000000,16
2:64,Särskilda utgifter inom universitet och högskolor,-4000000,-13000000,-13000000,16
2:65,Särskilda medel till universitet och högskolor,-1000000,-3000000,-3000000,16
2:66,Ersättningar för klinisk utbildning och forskning,-4000000,-16000000,-16000000,16
3:3,Vetenskapsrådet: Förvaltning,-1000000,-2000000,-2000000,16
3:5,Rymdstyrelsen: Förvaltning,0,0,0,16
3:6,Institutet för rymdfysik,0,0,0,16
3:7,Kungl. biblioteket,0,-2000000,-2000000,16
3:8,Polarforskningssekretariatet,0,0,0,16
3:10,Överklagandenämnden för etikprövning,0,0,0,16
3:11,Etikprövningsmyndigheten,0,0,0,16
3:12,Nämnden för prövning av oredlighet i forskning,0,0,0,16
3:14,Gentekniknämnden,0,0,0,16
4:3,Kostnader för Svenska Unescorådet,0,0,0,16
1:1,Statens kulturråd,0,0,0,17
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",-75000000,0,0,17
1:3,Skapande skola,2000000,0,0,17
